terms     sum_up           sum_down         rel_diff      
 537500   1.37622175e+01   1.37719822e+01   7.09275831e-04
 540625   1.37681780e+01   1.37776890e+01   6.90556888e-04
 543750   1.37741385e+01   1.37834358e+01   6.74759736e-04
 546875   1.37800989e+01   1.37892265e+01   6.62157428e-04
 550000   1.37860594e+01   1.37949524e+01   6.44864864e-04
 553125   1.37920198e+01   1.38005323e+01   6.17014128e-04
 556250   1.37979803e+01   1.38061876e+01   5.94643643e-04
 559375   1.38039408e+01   1.38118296e+01   5.71325305e-04
 562500   1.38099012e+01   1.38174133e+01   5.43816364e-04
 565625   1.38158617e+01   1.38228998e+01   5.09293168e-04
 568750   1.38218222e+01   1.38284483e+01   4.79281327e-04
 571875   1.38277826e+01   1.38338928e+01   4.41780285e-04
 575000   1.38337431e+01   1.38393402e+01   4.04516875e-04
 578125   1.38397036e+01   1.38448410e+01   3.71141621e-04
 581250   1.38456640e+01   1.38501654e+01   3.25055647e-04
 584375   1.38516245e+01   1.38555012e+01   2.79833155e-04
 587500   1.38575850e+01   1.38608255e+01   2.33821876e-04
 590625   1.38635454e+01   1.38662043e+01   1.91768340e-04
 593750   1.38695059e+01   1.38715019e+01   1.43905389e-04
 596875   1.38754663e+01   1.38766680e+01   8.65972761e-05
 600000   1.38814268e+01   1.38818817e+01   3.27700618e-05
 603125   1.38873873e+01   1.38871012e+01   2.06018049e-05
 606250   1.38933477e+01   1.38923092e+01   7.47544909e-05
 609375   1.38993082e+01   1.38974657e+01   1.32569257e-04
 612500   1.39052687e+01   1.39025173e+01   1.97883463e-04
 615625   1.39112291e+01   1.39075937e+01   2.61363079e-04
 618750   1.39171896e+01   1.39126549e+01   3.25889094e-04
 621875   1.39231501e+01   1.39177618e+01   3.87074950e-04
 625000   1.39291105e+01   1.39228077e+01   4.52596025e-04
 628125   1.39350710e+01   1.39277239e+01   5.27377590e-04
